VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9535163,Henrika Schulte,2.407150601514226,1.5,26,16.03846153846154,Container Ship,HK SMC,18313.470643430366,26
9337004,Oceanus,2.420401337792642,1.8,13,21,Tanker,CYP SMC,-12695.652173913044,13
9743473,Mimmi Schulte,2.4422717836236414,1,30,18.933333333333334,Container Ship,HK SMC,-11847.875571387103,30
9409493,Diamond Express,2.443548387096774,1.3,2,18,Tanker,SG SMC,-1074.838709677419,2
9723265,Sydney Express,2.444147786048732,2.5,28,22.857142857142858,Container Ship,CN SMC,-29441.246587827496,28
9674842,Breeze,2.4557543545930196,0.78,14,27.357142857142858,LPG Carrier,SG SMC,-18405.340751043117,14
9969053,Maersk Florence,2.4662862120150493,,16,24.125,Container Ship,HK SMC,-63615.10632909257,16
9354935,Manasarovar,2.476913579179364,1.1,,27.71794871794872,,SG SMC,-72750.94621039517,39
9717216,Cap San Lazaro,2.567328568298506,2.5,18,18.166666666666668,Container Ship,SG SMC,228.00935986986974,18
9535187,Hermann Schulte,2.644342485959634,1.5,26,16.153846153846153,Container Ship,HK SMC,2453.8058909664364,26
9889904,Orion Sea,2.6581488478166158,0.738,17,20.823529411764707,LNG Carrier,GR SMC,-5447.022642139427,17
9560376,San Diego Bridge,2.6797316920702454,1.4,22,15.545454545454545,Container Ship,HK SMC,-16031.503159291367,22
9979278,Maersk Fortaleza,2.6838124757199013,,20,20.35,Container Ship,HK SMC,-74267.93359487092,20
9446116,TMN Plenitude,2.7094992846924177,2.01,3,30,Tanker,SG SMC,-3296.343347639485,3
9698628,San Felipe,2.7186601154294867,2.5,35,14.257142857142858,Container Ship,SG SMC,-91849.72463246524,35
9740457,Maersk Skarstind,2.7667455150845854,2.5,19,14.631578947368421,Container Ship,SG SMC,-3451.9605914628523,19
9342712,Wan Hai 317,2.830994260315036,1,34,22.91176470588235,Container Ship,CN SMC,-23969.88165693599,34
9215311,W Kampala,2.8500552686146503,1.7,40,14.7,Container Ship,CYP SMC,-21333.36502717003,40
9769300,One Tradition,2.8926977002405914,2.5,22,17.09090909090909,Container Ship,HK SMC,-3782.09999239521,22
9878876,Mu Lan,2.9258001979871304,1.344,4,24.5,LNG Carrier,GR SMC,-945.9957102788318,4
9917543,Orion Jessica,2.953557422969188,1.008,21,14.095238095238095,LNG Carrier,GR SMC,-7006.117647058823,21
9747778,FMG Nicola,2.966814357671359,1.3,21,17.857142857142858,Bulk Carrier,HK SMC,-2745.958970487521,21
9211482,W Klaipeda,3.003221148548275,1.7,13,25.23076923076923,Container Ship,CYP SMC,-18700.694219203717,13
9295945,Wan Hai 627,3.0108568135756846,1.3,26,21.307692307692307,Container Ship,CN SMC,-13059.689993205768,26
9326419,Wan Hai 508,3.0165238333463305,1.5,29,20.862068965517242,Container Ship,CN SMC,-35084.192176037235,29
9793246,Vega Star,3.132466553054788,0.87,14,22.642857142857142,LPG Carrier,SG SMC,-32952.12834224599,14
9747807,FMG Sydney,3.1512702603249982,1.3,18,19.88888888888889,Bulk Carrier,HK SMC,-6860.703971006339,18
9937529,TS HongKong,3.1960481791913904,,35,16.857142857142858,Container Ship,HK SMC,-125389.40535561705,35
9619476,MSC Antigua,3.2514805524852233,2.5,17,28.529411764705884,Container Ship,IN SMC,-26376.39000241524,17
9811000,Ever Given,3.289748380516418,2.5,28,12.357142857142858,Container Ship,HK SMC,-23192.98182905041,28
9698630,San Felix,3.294590382425428,2.5,12,18.75,Container Ship,SG SMC,-25029.220059519368,12
9717228,Cap San Vincent,3.372479523715591,2.5,15,19.733333333333334,Container Ship,SG SMC,-7880.249124011004,15
9436422,CMA CGM Ambarli,3.39913707821987,1,43,16.813953488372093,Container Ship,DE SMC,-69059.18694576224,43
9555096,Wan Hai A07,3.439774910531351,2.5,29,22.689655172413794,Container Ship,CN SMC,5141.129505940045,29
9717204,Cap San Juan,3.5770163806191273,2.5,16,18,Container Ship,SG SMC,19133.67445558006,16
9297474,Lady Jane,3.6573175957028092,1.3,21,21.571428571428573,Container Ship,CYP SMC,-17451.68724556983,21
9306158,Chennai Express,3.6670487982618067,2,36,16,Container Ship,DE SMC,34542.29043983126,36
9902926,Orion Bohemia,3.679309056956116,1.008,9,27.77777777777778,LNG Carrier,GR SMC,-1410.0168067226891,9
9307035,Wan Hai 622,3.68073371439775,2.5,40,23.3,Container Ship,CN SMC,-64730.61401930631,40
9769295,One Tribute,3.7314788869554656,2.5,23,16.347826086956523,Container Ship,HK SMC,-37884.40283252358,23
9567661,Seroja Lima,3.7540151146802345,2,31,19.451612903225808,Container Ship,HK SMC,15722.218659209966,31
9880192,Marvel Swan,3.7717503214494448,0.702,10,13.5,LNG Carrier,PRONAV,-1530.01398012858,10
9723277,Istanbul Express,3.777686031187356,2.5,29,21.620689655172413,Container Ship,CN SMC,-260103.89281022985,29
9723241,Czech,3.7862736502323733,2.5,32,20.40625,Container Ship,CN SMC,-158645.83549520985,32
9555101,Wan Hai A08,3.8342429991539366,2.5,19,19.526315789473685,Container Ship,CN SMC,13475.034628702735,19
9321017,Wan Hai 623,3.9426445948150755,2.5,27,20.85185185185185,Container Ship,CN SMC,-57522.604224488896,27
9892456,Tenergy,3.9846241043923705,1.8,4,16.5,LNG Carrier,GR SMC,-1374.8847434132158,4
9619464,MSC Agadir,3.9872697883882924,2.5,37,22.91891891891892,Container Ship,IN SMC,-95101.57052243096,37
9605152,MSC Lagos X,4.001157640779937,2.5,36,18.63888888888889,Container Ship,HK SMC,-112345.46960020317,36
9484558,MSC Lome V,4.0726336327397785,1.5,21,22.095238095238095,Container Ship,SG SMC,-20589.731860888278,21
9248124,CMA CGM Puget,4.160970396768512,1.5,24,22.833333333333332,Container Ship,DE SMC,-21446.96314669272,24
9398242,Wan Hai 721,4.224,2,1,27,Container Ship,CN SMC,-7846.4,1
9298997,Wan Hai 625,4.2307894468716665,1.3,26,21.96153846153846,Container Ship,CN SMC,-26100.138103516227,26
9224520,Wan Hai 613,4.335897891461198,2,24,19.541666666666668,Container Ship,CN SMC,-53633.099841417374,24
9326433,Wan Hai 510,4.530324923559224,1.5,20,24.2,Container Ship,CN SMC,-23300.815633551658,20
9723253,Bremerhaven Express,4.582660607905557,2.5,27,18.85185185185185,Container Ship,CN SMC,-155077.87573243582,27
9532771,APL Turkey,4.626565077427787,,19,20.157894736842106,Container Ship,DE SMC,-57081.8396133265,19
9902938,Lng Prosperity,4.690063912348779,1.008,20,24.25,LNG Carrier,GR SMC,-16331.984217562853,20
9484546,Bernhard Schulte,4.713118094185642,1.5,24,18.916666666666668,Container Ship,SG SMC,-17602.25882625592,24
9224518,Wan Hai 612,4.841054600235921,2,,24.642857142857142,,CN SMC,-26145.243197006144,14
9224506,Wan Hai 611,5.73763028457888,2,35,23.771428571428572,Container Ship,CN SMC,-59728.60694710061,35
9337975,Duhail,6.491184260255253,,6,26.333333333333332,LNG Carrier,PRONAV,-147576.33255391874,6
9350927,Trinity Glory,8.03876404494382,,2,23,LNG Carrier,PRONAV,0,2
9264910,Prima Carrier,10.679034469152933,,13,31,LNG Carrier,SG SMC,0,13
9321732,Milaha Qatar,14.811818933779335,,18,28.11111111111111,LNG Carrier,PRONAV,-400,18
9255854,Milaha Ras Laffan,20.218688156145603,,25,29.8,LNG Carrier,PRONAV,-85.33333333333334,25
9210828,Xinhang Energy,22.456986800182065,,13,9.307692307692308,LNG Carrier,SG SMC,-2400,13
