VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9884978,Nordic Qinngua,1.0891024343621747,1.1,33,11.727272727272727,Bulk Carrier,CYP SMC,-1982.3866419295002,33
9166766,Marianna Golden,1.0941678043183682,0.65,39,28.641025641025642,LPG Carrier,SG SMC,-116917.9752192968,39
9800051,Nordic Ami,1.095938359044298,1.29,13,15.23076923076923,Tanker,SG SMC,-10036.794970389714,13
9694426,Mieke Schulte,1.1110681837946101,1,37,24.16216216216216,Container Ship,CYP SMC,-81615.30460992228,37
9743485,Molly Schulte,1.1321494528386953,1,48,27.875,Container Ship,HK SMC,-31681.9790500202,48
9676709,Mathilde Schulte,1.134922106805811,1,27,18.703703703703702,Container Ship,HK SMC,-26286.62247253788,27
9599133,Anglo Cynosure,1.1507905325443786,0.7,25,14.4,Bulk Carrier,CYP SMC,4180.544378698224,25
9800104,Nordic Ace,1.1522276704495804,1.29,27,25.185185185185187,Tanker,SG SMC,-22192.949415986128,27
9368778,Christoph Schulte,1.1675863083165163,0.672,24,18.166666666666668,LPG Carrier,SG SMC,-32350.517083993724,24
9887396,Solar Naama,1.169230769230769,0.9,8,17.375,Tanker,CYP SMC,-20700.30769230769,8
9793258,Vega Sun,1.1761460789849536,0.87,14,24.928571428571427,LPG Carrier,SG SMC,-25036.810044175774,14
9778478,Pacific Hong Kong,1.1825496511003755,0.657,27,31.85185185185185,LPG Carrier,SG SMC,-54908.289855072464,27
9703590,MP Ultramax 1,1.1855581869350162,1.1,25,11,Bulk Carrier,SG SMC,71.06037864574557,25
9542984,Thalea Schulte,1.1883621326244276,0.696,12,26.916666666666668,LPG Carrier,IN SMC,-14156.189632255206,12
9439876,Elisalex Schulte,1.1924809965468537,0.85,46,12.130434782608695,Tanker,CYP SMC,-10790.689163254281,46
9650808,Illawarra Fortune,1.1964667120701606,0.9,35,27.114285714285714,Bulk Carrier,HK SMC,-23980.98970057591,35
9936446,Maersk Phuket,1.2101850106069978,1,31,27.806451612903224,Container Ship,SG SMC,-64226.73417495614,31
9676723,Melchior Schulte,1.2177959010032708,1,18,16.5,Container Ship,HK SMC,-4143.353363436842,18
9849904,Golden Freeze,1.220274749754241,0.8,31,15.774193548387096,Bulk Carrier,SG SMC,-16368.880980905664,31
9439412,Golden Beijing,1.2264285714285716,0.9,14,12.857142857142858,Bulk Carrier,SG SMC,2368.000000000001,14
9476599,Acacia,1.2272307325056102,0.77,18,31.944444444444443,Tanker,SG SMC,-20459.874175302382,18
